Item ID,Mod ID,Replacement Type,Versions,Material,Handle Material,Improvements
gravitite_axe,aether,axe,"19, 20",aether_gravitite,aether_skyroot,
gravitite_hoe,aether,hoe,"19, 20",aether_gravitite,aether_skyroot,
gravitite_pickaxe,aether,pickaxe,"19, 20",aether_gravitite,aether_skyroot,
gravitite_shovel,aether,shovel,"19, 20",aether_gravitite,aether_skyroot,
gravitite_sword,aether,sword,"19, 20",aether_gravitite,aether_skyroot,
holystone_axe,aether,axe,"19, 20",aether_holystone,aether_skyroot,
holystone_hoe,aether,hoe,"19, 20",aether_holystone,aether_skyroot,
holystone_pickaxe,aether,pickaxe,"19, 20",aether_holystone,aether_skyroot,
holystone_shovel,aether,shovel,"19, 20",aether_holystone,aether_skyroot,
holystone_sword,aether,sword,"19, 20",aether_holystone,aether_skyroot,
skyjade_axe,deep_aether,axe,"19, 20",deep_aether_skyjade,aether_skyroot,
skyjade_hoe,deep_aether,hoe,"19, 20",deep_aether_skyjade,aether_skyroot,
skyjade_pickaxe,deep_aether,pickaxe,"19, 20",deep_aether_skyjade,aether_skyroot,
skyjade_shovel,deep_aether,shovel,"19, 20",deep_aether_skyjade,aether_skyroot,
skyjade_sword,deep_aether,sword,"19, 20",deep_aether_skyjade,aether_skyroot,
skyroot_axe,aether,axe,"19, 20",aether_skyroot,aether_skyroot,
skyroot_hoe,aether,hoe,"19, 20",aether_skyroot,aether_skyroot,
skyroot_pickaxe,aether,pickaxe,"19, 20",aether_skyroot,aether_skyroot,
skyroot_shovel,aether,shovel,"19, 20",aether_skyroot,aether_skyroot,
skyroot_sword,aether,sword,"19, 20",aether_skyroot,aether_skyroot,
stratus_axe,deep_aether,axe,"19, 20",deep_aether_stratus,aether_skyroot,
stratus_hoe,deep_aether,hoe,"19, 20",deep_aether_stratus,aether_skyroot,
stratus_pickaxe,deep_aether,pickaxe,"19, 20",deep_aether_stratus,aether_skyroot,
stratus_shovel,deep_aether,shovel,"19, 20",deep_aether_stratus,aether_skyroot,
stratus_sword,deep_aether,sword,"19, 20",deep_aether_stratus,aether_skyroot,
valkyrie_axe,aether,axe,"19, 20",aether_valkyrie,aether_skyroot,
valkyrie_hoe,aether,hoe,"19, 20",aether_valkyrie,aether_skyroot,
valkyrie_pickaxe,aether,pickaxe,"19, 20",aether_valkyrie,aether_skyroot,
valkyrie_shovel,aether,shovel,"19, 20",aether_valkyrie,aether_skyroot,
valkyrie_sword,aether,sword,"19, 20",aether_valkyrie,aether_skyroot,
zanite_axe,aether,axe,"19, 20",aether_zanite,aether_skyroot,
zanite_hoe,aether,hoe,"19, 20",aether_zanite,aether_skyroot,
zanite_pickaxe,aether,pickaxe,"19, 20",aether_zanite,aether_skyroot,
zanite_shovel,aether,shovel,"19, 20",aether_zanite,aether_skyroot,
zanite_sword,aether,sword,"19, 20",aether_zanite,aether_skyroot,
