  Name,ignore  Add-On,ignore  Fixed,ignore  Rarity,ignore  Niche,  Adjective,  Mod ID,  Versions,  Category,  Prim,  Sec,  Tert,  Dur,  iCost,  iGain,  magic,  tlevel,  teff,  tint,  textures,  item,  effects,  improvements,  reqTools
Gravitite,AT,Yes,,Sword/Tool A,Gravitite,aether,"19, 20",gem,6,1.2,0,1561,2,2,60,5,8,912188,"shiny, crude, default",enchanted_gravitite,,"imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/levitator_tool 0 0, imp aetheric_tetranomicon/levitator_weapon 0 0",hammer 3
Holystone,AT,Yes,,,Holystone,aether,"19, 20",stone,4,4.5,0,131,1,4,30,3,4,a3a3a3,"crude, default",holystone,,"imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/ambrosia_seeker_tool 0 0, imp aetheric_tetranomicon/ambrosia_seeker_weapon 0 0",hammer 1
Phoenix,AT,Yes,,Sword/Tool A-,Phoenix,aether,"19, 20",metal,7,2.9,3,1561,2,5,72,5,8,ff961b,"shiny, metal, default",aetheric_tetranomicon:phoenix_scrap,,"imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/phoenix 0 0",hammer 4
Skyroot,AT,Yes,,,Skyroot,aether,"19, 20",wood,3,1.4,6,59,1,4,90,1,2,7e694c,"crude, wooden",skyroot_planks,,"imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/harvester 0 0",axe 1
Valkyrum,AT,Yes,,,Valkyrum,ancient_aether,"19, 20",metal,7,2.8,3.7,2031,2,6,90,7,9,f4eddc,"shiny, metal, default",valkyrum,,"imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/valkyrie_whole 0 0, imp aetheric_tetranomicon/valkyrie_half 0 0",hammer 4
Valkyrie,AT,Yes,,Sword/Tool A,Valkyrie,aether,"19, 20",metal,6,2.8,3.7,1561,2,5,60,5,8,eeffff,"shiny, metal, default",aetheric_tetranomicon:valkyrian_scrap,,"imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/valkyrie_whole 0 0, imp aetheric_tetranomicon/valkyrie_half 0 0",hammer 4
Zanite,AT,Yes,,,Zanite,aether,"19, 20",gem,5,2.4,0,250,2,2,84,4,6,763ace,"shiny, crude",zanite_gemstone,,"imp arrested 0 0, imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/tenacity_tool 0 0, imp aetheric_tetranomicon/tenacity_weapon 0 0",hammer 2
Blightwillow,AT,,,Longbow A,Blightwillow,aether_redux,"19, 20",wood,5.5,2.4,8.7,250,2,5,102,2,2,9fba90,"crude, wooden",blightwillow_planks,eff unstable 10 0,imp aetheric_tetranomicon/aetheric 0 0,axe 4
Cloudcap,AT,,,Handle B,Cloudcap,aether_redux,"19, 20",wood,4.6,1.3,6,1024,2,6,84,1,3,4b537d,"crude, wooden",cloudcap_planks,,imp aetheric_tetranomicon/aetheric 0 0,axe 3
Crystal Wood,AT,,,,Crystalline,aether_redux,"19, 20",wood,5,2.8,2.2,768,2,2,90,3,12,8da6c1,"crude, wooden",crystal_planks,,"imp arrested 0 0, imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/ambrosia_seeker_tool 0 0, imp aetheric_tetranomicon/ambrosia_seeker_weapon 0 0",axe 4
