 Item ID,ignore Add-On, Mod ID, Replacement Type, Versions, Tool Set, Material, Handle Material, Improvements
gravitite_axe,AT,aether,axe,"19, 20",aether_gravitite,aether_gravitite,aether_skyroot,"double/head_left aetheric_tetranomicon/levitator_tool 0, double/head_left aetheric_tetranomicon/aetheric 0"
gravitite_hoe,AT,aether,hoe,"19, 20",aether_gravitite,aether_gravitite,aether_skyroot,"double/head_left aetheric_tetranomicon/levitator_tool 0, double/head_left aetheric_tetranomicon/aetheric 0"
gravitite_pickaxe,AT,aether,pick,"19, 20",aether_gravitite,aether_gravitite,aether_skyroot,"double/head_left aetheric_tetranomicon/levitator_tool 0, double/head_right aetheric_tetranomicon/levitator_tool 0, double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
gravitite_shovel,AT,aether,shovel,"19, 20",aether_gravitite,aether_gravitite,aether_skyroot,"single/head aetheric_tetranomicon/levitator_tool 0, single/head aetheric_tetranomicon/aetheric 0"
gravitite_sword,AT,aether,sword,"19, 20",aether_gravitite,aether_gravitite,aether_skyroot,"sword/blade aetheric_tetranomicon/levitator_weapon 0, sword/blade aetheric_tetranomicon/aetheric 0"
holystone_axe,AT,aether,axe,"19, 20",aether_holystone,aether_holystone,aether_skyroot,"double/head_left aetheric_tetranomicon/ambrosia_seeker_tool 0, double/head_left aetheric_tetranomicon/aetheric 0"
holystone_hoe,AT,aether,hoe,"19, 20",aether_holystone,aether_holystone,aether_skyroot,"double/head_left aetheric_tetranomicon/ambrosia_seeker_tool 0, double/head_left aetheric_tetranomicon/aetheric 0"
holystone_pickaxe,AT,aether,pick,"19, 20",aether_holystone,aether_holystone,aether_skyroot,"double/head_left aetheric_tetranomicon/ambrosia_seeker_tool 0, double/head_right aetheric_tetranomicon/ambrosia_seeker_tool 0, double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
holystone_shovel,AT,aether,shovel,"19, 20",aether_holystone,aether_holystone,aether_skyroot,"single/head aetheric_tetranomicon/ambrosia_seeker_tool 0, single/head aetheric_tetranomicon/aetheric 0"
holystone_sword,AT,aether,sword,"19, 20",aether_holystone,aether_holystone,aether_skyroot,"sword/blade aetheric_tetranomicon/ambrosia_seeker_weapon 0, sword/blade aetheric_tetranomicon/aetheric 0"
phoenix_axe,AT,lost_aether_content,axe,"19, 20",lost_aether_content_phoenix,aether_phoenix,aether_skyroot,"double/head_left aetheric_tetranomicon/phoenix 0, double/head_right aetheric_tetranomicon/phoenix 0, double/head_left aetheric_tetranomicon/aetheric 0"
phoenix_bow,AT,aether,bow,"19, 20",aether_phoenix,aether_phoenix,,"bow/stave aetheric_tetranomicon/phoenix 0, bow/stave aetheric_tetranomicon/aetheric 0"
phoenix_hoe,AT,lost_aether_content,hoe,"19, 20",lost_aether_content_phoenix,aether_phoenix,aether_skyroot,"double/head_left aetheric_tetranomicon/phoenix 0, double/head_right aetheric_tetranomicon/phoenix 0, double/head_left aetheric_tetranomicon/aetheric 0"
phoenix_pickaxe,AT,lost_aether_content,pick,"19, 20",lost_aether_content_phoenix,aether_phoenix,aether_skyroot,"double/head_left aetheric_tetranomicon/phoenix 0, double/head_right aetheric_tetranomicon/phoenix 0, double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
phoenix_shovel,AT,lost_aether_content,shovel,"19, 20",lost_aether_content_phoenix,aether_phoenix,aether_skyroot,"single/head aetheric_tetranomicon/phoenix 0, single/head aetheric_tetranomicon/aetheric 0"
phoenix_sword,AT,lost_aether_content,sword,"19, 20",lost_aether_content_phoenix,aether_phoenix,aether_skyroot,"sword/blade aetheric_tetranomicon/phoenix 0, sword/blade aetheric_tetranomicon/aetheric 0"
skyjade_axe,AT,deep_aether,axe,"19, 20",deep_aether_skyjade,deep_aether_skyjade,aether_skyroot,double/head_left aetheric_tetranomicon/aetheric 0
skyjade_hoe,AT,deep_aether,hoe,"19, 20",deep_aether_skyjade,deep_aether_skyjade,aether_skyroot,double/head_left aetheric_tetranomicon/aetheric 0
skyjade_pickaxe,AT,deep_aether,pick,"19, 20",deep_aether_skyjade,deep_aether_skyjade,aether_skyroot,"double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
