Name,Adjective,Mod ID,Versions,Category,Prim,Sec,Tert,Dur,iCost,iGain,magic,tlevel,teff,tint,textures,item,effects,improvements,reqTools
Eternal Flavolite,Eternal Flavolite,betterendforge,16,stone,4,4,0,24576,1,4,90,3,4,bfa175,"grainy, crude, default",flavolite_runed_eternal,,,hammer 6
"Fire Dragonsteel, Ice Dragonsteel, Fire Dragonsteel","Fire Dragonsteel, Ice Dragonsteel, Fire Dragonsteel",iceandfire,"16, 18",metal,24,4.5,2,8000,4,6,60,7,10,"c09396, aed4ea, 856fb5","metal, default","dragonsteel_fire_ingot, dragonsteel_ice_ingot, dragonsteel_lightning_ingot",,,hammer 7
Purple Geode,Purple Geode,wyrmroost,16,gem,8,4,0,4214,3,4,168,8,15,9b0dbf,"shiny, crude",purple_geode,"eff unstable 30 0, eff enderReverb 4 0.1",imp arrested 0 0,hammer 7
Enderite,Enderite,enderitemod,"16, 18, 19",metal,8,2.9,4,4096,2,6,102,6,15,144038,"heavy, metal, default",enderite_ingot,,imp enderite_void_floating_innate 3 0,hammer 6
Red Geode,Red Geode,wyrmroost,16,gem,6.5,3.5,0,3264,3,3,144,7,10,8d2e2f,"shiny, crude",red_geode,eff unstable 30 0,imp arrested 0 0,hammer 6
Pendorite,Pendorite,byg,"16, 18, 19",metal,7,6,3,2500,2,6,90,7,10,723770,"heavy, metal, default",pendorite_ingot,,,hammer 6
Nebu,Nebu,atum,16,metal,7,3.5,4.5,2250,2,7,132,6,9,d19607,"shiny, metal, default",nebu_ingot,eff stabilizing 15 0,,hammer 6
Aeternium,Aeternium,betterendforge,16,metal,7.5,3.7,4.5,2196,2,7,108,7,10,6c8c84,"heavy, metal, default",aeternium_ingot,,,hammer 6
Blue Geode,Blue Geode,wyrmroost,16,gem,5.5,2.9,0,2164,2,2,120,6,9.3,225589,"shiny, crude",blue_geode,,imp arrested 0 0,hammer 5
Azure Jadestone,Azure Jadestone,betterendforge,16,stone,4,3.8,0,2031,2,4,102,3,4,396e67,"grainy, crude, default",azure_jadestone,,,hammer 5
Sandy Jadestone,Sandy Jadestone,betterendforge,16,stone,4,3.8,0,2031,2,4,102,3,4,879d57,"grainy, crude, default",sandy_jadestone,,,hammer 5
Virid Jadestone,Virid Jadestone,betterendforge,16,stone,4,3.8,0,2031,2,4,102,3,4,305f4e,"grainy, crude, default",virid_jadestone,,,hammer 5
Pythadendron,Pythadendron,betterendforge,16,wood,5.5,1.7,5,2031,2,9,90,4,7,6b546b,"crude, wooden",pythadendron_planks,,,axe 7
Nightshade,Nightshade,byg,"16, 18, 19",wood,5,1.4,5,2031,2,8,120,4,5,915f2a,"crude, wooden",nightshade_planks,,,axe 7
Chorundum,Chorundum,stalwart_dungeons,"16, 18, 19",gem,7,3.3,0,2021,2,5,168,6,10,b38ef3,"shiny, crude",chorundum,eff unstable 40 0,imp arrested 0 0,hammer 5
Umbralith,Umbral,betterendforge,16,stone,7.2,8,0,1561,3,2,108,3,6,110f22,"heavy, grainy, crude, default",umbralith,eff crushing 2 0,,hammer 5
Violecite,Violecite,betterendforge,16,stone,4.5,7,0,1561,2,2,90,5,8,3b2f43,"grainy, crude, default",violecite,,imp violecite_density 0 0,hammer 5
Voidstone,Voidstone,quark,"16, 18, 19",stone,6.7,6,0,1561,3,4,114,5,10,121212,"grainy, crude, default",voidstone,eff enderReverb 2 0.3,,hammer 5
Sulfuric Rock,Sulfuric,betterendforge,16,stone,4.5,4.3,0,1561,1,4,90,3,5.4,644c4c,"grainy, crude, default",sulphuric_rock,eff fierySelf 1 0.02,,hammer 4
Flavolite,Flavolite,betterendforge,16,stone,4,4,0,1561,1,4,90,3,4,d4c098,"grainy, crude, default",flavolite,,,hammer 5
Ether Stone,Ether Stone,byg,"18, 19",stone,4,4,0,1561,1,2,90,3,6,859898,"grainy, crude, default",ether_stone,,,hammer 5
Dense Vine,Dense Vine,betterendforge,16,fibre,4,3.6,3,1561,2,9,66,0,0,29bfb5,"crude, default",dense_vine,eff enderReverb -3 0.2,,cut 6
Imparius vine,Imparius vine,byg,"18, 19",fibre,4,3.3,3,1561,2,9,66,0,0,15868d,"crude, default",imparius_vine,eff stabilizing 10 0,,cut 6
Poise,Poise,endergetic,16,wood,4.5,1,5,1561,1,7,102,3,5,6e3c6f,"crude, wooden",poise_planks,,,axe 7
Shadow Steel,Shadow Steel,create,"16, 18, 19, 20",metal,6.2,3.5,2.1,1365,2,5,99,5,8,5d5164,"metal, default",shadow_steel,eff stabilizing 8 0,,hammer 4
Jungle Vine,Jungle Vine,betterendforge,16,fibre,4,2.8,3,1280,2,7,102,0,0,1f6c7f,"crude, default",jungle_vine,,,cut 5
Silk,Silk,betterendforge,16,fibre,3,1,3,1280,1,7,108,0,0,dad7da,"crude, default",silk_fiber,,,cut 5
Terminite,Terminite,betterendforge,16,metal,6,3,3.5,1230,2,5,84,5,8.5,7aada6,"metal, default",terminite_ingot,,,hammer 3
Myalite,Myalite,quark,"16, 18, 19",stone,6,5,0,1024,2,2,132,4,10,592e9a,"grainy, crude, default",myalite,"eff stabilizing 15 0, eff enderReverb 3 0.2",,hammer 5
