Name,Mod ID,Colored String,Versions,Item Types,Durability,Durability Mod,Integrity,Tint,Textures,Attributes,Effects,Tool Level,Tool Efficiency,Item,XP Cost
Amber Curiosity,alexscaves,§6Amber Curiosity§r,20,"double, single, sword",,1,1,ff8c00,default,,eff earthbind 8 0,,,amber_curiosity,10
Occult Gem,alexscaves,§4Occult Gem§r,20,"double, single, sword",,1,1,ee0000,default,att generic.max_health 0 -4,"eff bleeding 2 0, eff backstab 2 0, eff severing 20 2",,2,occult_gem,20
Pearl,alexscaves,§fPearl§r,20,"double, single, sword",,1,1,f2e3f3,default,,eff stabilizing 15 0,,,pearl,10
Uranium,alexscaves,§aUranium§r,20,"double, single, sword",512,1,1,00ff00,default,"att **generic.attack_damage 0 0.25, att generic.max_health 0 -4","eff fierySelf 1 0.02, eff bleeding 4 0, eff severing 20 5",,4,uranium,30
Abyssal Amethyst,aquamirae,§dAbyssal Amethyst§r,"16, 18, 19, 20","double, single, sword",512,1,1,ff7bff,default,,"eff criticalStrike 20 2, eff backstab 2 0",,2,abyssal_amethyst,15
Echo of the Ship Graveyard,aquamirae,§bEcho of the Ship Graveyard§r,"16, 18, 19, 20","double, single, sword",714,1,1,6df8fe,pristine,"att **generic.attack_speed 0 0.1, att **generic.movement_speed 0 0.1, att generic.armor 0 2","eff workable 15 0, eff stabilizing 20 0",,4,ship_graveyard_echo,30
Aquite,blue_skies,§bAquite§r,"16, 18, 19, 20","double, single, sword",,1,1,62bee3,default,,eff intuit 1 0,,,aquite_gem,5
Charoite,blue_skies,§uCharoite§r,"16, 18, 19, 20","double, single, sword",512,1,1,9d71c3,default,att **generic.attack_damage 0 0.1,,,4,charoite,10
Diopside,blue_skies,§aDiopside§r,"16, 18, 19, 20","double, single, sword",714,1,1,00cd15,default,att **generic.attack_damage 0 0.2,,,2,diopside_gem,10
Moonstone,blue_skies,§fMoonstone§r,"16, 18, 19, 20","double, single, sword",,1,1,c4e3f1,default,,eff stabilizing 20 0,,,moonstone,10
