 Item ID,ignore Add-On, Mod ID, Replacement Type, Versions, Tool Set, Material, Handle Material, Improvements
corrupt_upgraded_netherite_axe,TeUpNePa,upgradednetherite,axe,16,upgraded_netherite_corrupt,netherite,,"double/basic_handle basic_handle/soot 0, double/head_left upgradednetherite/corrupt 0, double/head_right upgradednetherite/aesthetic_corrupt 0"
corrupt_upgraded_netherite_sword,TeUpNePa,upgradednetherite,sword,16,upgraded_netherite_corrupt,netherite,,"sword/hilt basic_hilt/soot 0, sword/blade upgradednetherite/corrupt 0"
corrupt_upgraded_netherite_pickaxe,TeUpNePa,upgradednetherite,pick,16,upgraded_netherite_corrupt,netherite,,"double/basic_handle basic_handle/soot 0, double/head_left upgradednetherite/corrupt 0, double/head_right upgradednetherite/aesthetic_corrupt 0"
corrupt_upgraded_netherite_shovel,TeUpNePa,upgradednetherite,shovel,16,upgraded_netherite_corrupt,netherite,,"single/basic_handle basic_handle/soot 0, single/head upgradednetherite/corrupt 0"
corrupt_upgraded_netherite_bow,TeUpNePa,upgradednetherite,bow,16,upgraded_netherite_corrupt,netherite,,bow/stave upgradednetherite/corrupt 0
corrupt_upgraded_netherite_crossbow,TeUpNePa,upgradednetherite,crossbow,16,upgraded_netherite_corrupt,netherite,,"crossbow/stock upgradednetherite/corrupt 0, crossbow/stock trigger/simple 1"
corrupt_upgraded_netherite_shield,TeUpNePa,upgradednetherite,shield,16,upgraded_netherite_corrupt,netherite,,shield/plate upgradednetherite/corrupt 0
ender_upgraded_netherite_axe,TeUpNePa,upgradednetherite,axe,16,upgraded_netherite_ender,netherite,,"double/basic_handle basic_handle/soot 0, double/head_left upgradednetherite/ender 0, double/head_right upgradednetherite/aesthetic_ender 0"
ender_upgraded_netherite_sword,TeUpNePa,upgradednetherite,sword,16,upgraded_netherite_ender,netherite,,"sword/hilt basic_hilt/soot 0, sword/blade upgradednetherite/ender 0"
ender_upgraded_netherite_pickaxe,TeUpNePa,upgradednetherite,pick,16,upgraded_netherite_ender,netherite,,"double/basic_handle basic_handle/soot 0, double/head_left upgradednetherite/ender 0, double/head_right upgradednetherite/aesthetic_ender 0"
ender_upgraded_netherite_shovel,TeUpNePa,upgradednetherite,shovel,16,upgraded_netherite_ender,netherite,,"single/basic_handle basic_handle/soot 0, single/head upgradednetherite/ender 0"
ender_upgraded_netherite_bow,TeUpNePa,upgradednetherite,bow,16,upgraded_netherite_ender,netherite,,bow/stave upgradednetherite/ender 0
ender_upgraded_netherite_crossbow,TeUpNePa,upgradednetherite,crossbow,16,upgraded_netherite_ender,netherite,,"crossbow/stock upgradednetherite/ender 0, crossbow/stock trigger/simple 1"
ender_upgraded_netherite_shield,TeUpNePa,upgradednetherite,shield,16,upgraded_netherite_ender,netherite,,shield/plate upgradednetherite/ender 0
feather_upgraded_netherite_axe,TeUpNePa,upgradednetherite,axe,16,upgraded_netherite_feather,netherite,,"double/basic_handle basic_handle/soot 0, double/head_left upgradednetherite/feather 0, double/head_right upgradednetherite/aesthetic_feather 0"
feather_upgraded_netherite_sword,TeUpNePa,upgradednetherite,sword,16,upgraded_netherite_feather,netherite,,"sword/hilt basic_hilt/soot 0, sword/blade upgradednetherite/feather 0"
feather_upgraded_netherite_pickaxe,TeUpNePa,upgradednetherite,pick,16,upgraded_netherite_feather,netherite,,"double/basic_handle basic_handle/soot 0, double/head_left upgradednetherite/feather 0, double/head_right upgradednetherite/aesthetic_feather 0"
feather_upgraded_netherite_shovel,TeUpNePa,upgradednetherite,shovel,16,upgraded_netherite_feather,netherite,,"single/basic_handle basic_handle/soot 0, single/head upgradednetherite/feather 0"
feather_upgraded_netherite_bow,TeUpNePa,upgradednetherite,bow,16,upgraded_netherite_feather,netherite,,bow/stave upgradednetherite/feather 0
