Name,Adjective,Mod ID,Versions,Category,Prim,Sec,Tert,Dur,iCost,iGain,magic,tlevel,teff,tint,textures,item,effects,improvements,reqTools
Dense Vine,Dense Vine,betterendforge,"16, 18, 19",fibre,4,3.6,3,1450,2,9,72,ToolLevel.ZERO,0,29bfb5,"crude, default",dense_vine,,,"hammer 0, axe 0, cut 4"
Jungle Vine,Jungle Vine,betterendforge,"16, 18, 19",fibre,4,2.8,3,1200,2,7,90,ToolLevel.ZERO,0,1f6c7f,"crude, default",jungle_vine,,,"hammer 0, axe 0, cut 4"
Lament Vine,Lament Vine,byg,"16, 18, 19",fibre,5,3.5,3,400,1,5,96,ToolLevel.ZERO,0,48386a,"crude, default",lament_vine,,,"hammer 0, axe 0, cut 2"
Shulkren Vine,Shulkren,byg,16,fibre,3,1.2,3.5,650,1,6,108,ToolLevel.ZERO,0,007e3e,"crude, default",shulkren_vine,,,"hammer 0, axe 0, cut 3"
Silk,Silk,betterendforge,"16, 18, 19",fibre,3,1,3,900,1,5,90,ToolLevel.ZERO,0,dad7da,"crude, default",silk_fiber,,,"hammer 0, axe 0, cut 3"
Skyris Vine,Skyris Vine,byg,"16, 18, 19",fibre,3,0.7,2.8,150,1,2,90,ToolLevel.ZERO,0,f1a9a9,"crude, default",skyris_vine,,,"hammer 0, axe 0, cut 2"
Tenanea Flowers,Flowered,betterendforge,"16, 18, 19",fibre,4,1,3,90,2,1,78,ToolLevel.ZERO,0,a362b2,"crude, default",tenanea_flowers,eff enderReverb -6 -0.6,,"hammer 0, axe 0, cut 2"
Twisted Vine,Twisted Vine,betterendforge,"16, 18, 19",fibre,1,0.8,5,900,2,7,108,ToolLevel.ZERO,0,0a0a0a,"crude, default",twisted_vine,,,"hammer 0, axe 0, cut 3"
Aurora Crystal,Aurora Crystal,betterendforge,"16, 18, 19",gem,5,2,0,131,2,1,150,ToolLevel.SIX,6,862ec0,"shiny, crude",crystal_shards,eff intuit 1 0,imp arrested 0 0,"hammer 5, axe 0, cut 0"
Blue Geode,Blue Geode,wyrmroost,"16, 18, 19",gem,5.5,2.9,0,2164,2,2,120,ToolLevel.FIVE,9.3,225589,"shiny, crude",blue_geode,,,"hammer 5, axe 0, cut 0"
Chorundum,Chorundum,stalwart_dungeons,16,gem,8,3.3,0,2021,2,8,168,ToolLevel.FIVE,11,b38ef3,"shiny, crude",chorundum,,,"hammer 5, axe 0, cut 0"
Eternal Crystal,Eternal Crystal,betterendforge,"16, 18, 19",gem,5,1.2,0,5,4,1,180,ToolLevel.SIX,10,8ffff6,"shiny, crude",eternal_crystal,eff intuit 3 0,imp arrested 0 0,"hammer 7, axe 0, cut 0"
Purple Geode,Purple Geode,wyrmroost,"16, 18, 19",gem,8,2.4,0,4214,2,4,168,ToolLevel.SIX,15,9b0dbf,"shiny, crude",purple_geode,,,"hammer 6, axe 0, cut 0"
Red Geode,Red Geode,wyrmroost,"16, 18, 19",gem,6.5,3.5,0,3264,2,3,144,ToolLevel.SIX,10,8d2e2f,"shiny, crude",red_geode,,,"hammer 6, axe 0, cut 0"
Aeternium,Aeternium,betterendforge,"16, 18, 19",metal,7.5,3.5,4.5,2196,2,12,108,ToolLevel.SIX,10,6c8c84,"metal, default",aeternium_ingot,,,"hammer 6, axe 0, cut 0"
Andesite Alloy,Andesite Alloy,create,"16, 18, 19",metal,5.3,3.7,0.8,198,2,4,96,ToolLevel.THREE,5.5,928f97,"metal, default",andesite_alloy,,,"hammer 1, axe 0, cut 0"
Blazing Gold,Blazing Golden,netheragriculture,16,metal,5,4.2,1,768,2,4,132,ToolLevel.TWO,50,ee7b29,"shiny, metal, default",blazing_gold_ingot,eff fierySelf 2 0.02,"imp blazing_tool 2 0, imp blazing_blade 4 0","hammer 3, axe 0, cut 0"
Brass,Brass,create,"16, 18, 19",metal,5.5,4,3.2,462,2,6,87,ToolLevel.THREE,6.5,ffc940,"metal, default",brass_ingot,,,"hammer 2, axe 0, cut 0"
Enderite,Enderite,enderitemod,"16, 18, 19",metal,8,2.5,4,4096,2,10,102,ToolLevel.FIVE,15,144038,"metal, default",enderite_ingot,,imp enderite_void_floating_innate 3 0,"hammer 6, axe 0, cut 0"
